Gene	sgRNA
SCN11A	SCN11A_+_38992032.23-ENST00000302328.3
PFN1	PFN1_-_4851398.23-P1P2
PFN1	PFN1_-_4851389.23-P1P2
SDF2	SDF2_+_26988890.23-P1P2
MVK	MVK_+_110011169.23-P1P2
PPME1	PPME1_+_73882513.23-P1P2
SLC9A1	SLC9A1_-_27481162.23-P1P2
IP6K2	IP6K2_+_48754608.23-P1P2
ALDH3B1	ALDH3B1_+_67777809.23-P1P2
HBG1	HBG1_+_5269261.23-P1P2
SNAP25	SNAP25_+_10199550.23-P1P2
CHRNB1	CHRNB1_-_7348808.23-P1P2
CDKN1B	CDKN1B_+_12870802.23-P1P2
CDKN1B	CDKN1B_-_12870766.23-P1P2
ITGAL	ITGAL_-_30484109.23-P1P2
SPRYD3	SPRYD3_+_53473124.23-P1P2
GLS	GLS_-_191745585.23-P1P2
LPPR2	LPPR2_-_11466222.23-P1P2
ILK	ILK_+_6625020.23-P1P2
NDUFB4	NDUFB4_+_120315191.23-P1P2
AANAT	AANAT_+_74463735.23-P1P2
UCK2	UCK2_+_165797262.23-P1P2
UCK2	UCK2_+_165797244.23-P1P2
KCNQ2	KCNQ2_+_62103978.23-P1P2
GOT2	GOT2_-_58767838.23-P1P2
PRKCH	PRKCH_-_61788470.23-P1P2
PIP5KL1	PIP5KL1_-_130690789.23-P1P2
PIP5KL1	PIP5KL1_-_130690658.23-P1P2
FSHR	FSHR_+_49381159.23-P1P2
FSHR	FSHR_-_49381671.23-P1P2
PSTPIP1	PSTPIP1_+_77287907.23-P1P2
ENPP1	ENPP1_-_132129718.23-P1P2
OTC	OTC_+_38212227.23-P1P2
ROR2	ROR2_-_94712437.23-P1P2
ADRA2B	ADRA2B_-_96782246.23-P1P2
PRKRIR	PRKRIR_+_76092079.23-P1P2
SIGLEC1	SIGLEC1_-_3687813.23-P1P2
TSTA3	TSTA3_-_144699275.23-P1P2
TSTA3	TSTA3_-_144699285.23-P1P2
ADH1B	ADH1B_+_100242040.23-P1P2
PEAK1	PEAK1_+_77712040.23-P1P2
ACE2	ACE2_-_15618594.23-P1P2
ARPC3	ARPC3_-_110888131.23-P1
NDUFC1	NDUFC1_+_140216887.23-P1
MMACHC	MMACHC_-_45966249.23-P1P2
MMACHC	MMACHC_+_45966075.23-P1P2
EPHA3	EPHA3_+_89157080.23-P1P2
SYNC	SYNC_+_33168338.23-P1P2
SYNC	SYNC_+_33167945.23-P1P2
PDP2	PDP2_+_66914472.23-P1P2
PDP2	PDP2_-_66914442.23-P1P2
TRDMT1	TRDMT1_+_17243655.23-P1P2
TRDMT1	TRDMT1_-_17243223.23-P1P2
PNLIPRP2	PNLIPRP2_-_118380523.23-P1P2
CTSF	CTSF_+_66335640.23-P1P2
IKBKE	IKBKE_-_206644197.23-P1P2
IP6K3	IP6K3_+_33714664.23-P1P2
IP6K3	IP6K3_-_33714614.23-P1P2
PPP1R16B	PPP1R16B_-_37434450.23-P1P2
NFS1	NFS1_-_34287196.23-P1P2
ECE1	ECE1_-_21671544.23-P1P2
PRKCD	PRKCD_+_53195217.23-P1P2
PRKAA1	PRKAA1_+_40798202.23-P1P2
NEU1	NEU1_+_31830568.23-P1P2
HLA-A	HLA-A_-_29911131.23-P1P2
DAPP1	DAPP1_-_100738024.23-P1P2
STK31	STK31_+_23749899.23-P1P2
DGKD	DGKD_-_234263257.23-P1P2
STRADA	STRADA_+_61819146.23-P1P2
UGT1A9	UGT1A9_-_234580537.23-P1P2
GLUD2	GLUD2_+_120181543.23-P1P2
MMP17	MMP17_-_132313401.23-P1P2
AGTR1	AGTR1_-_148415793.23-P1P2
TPH1	TPH1_+_18047661.23-P1P2
TPH1	TPH1_-_18048055.23-P1P2
HNMT	HNMT_+_138722602.23-P1P2
CFL1	CFL1_-_65625699.23-P1P2
AZGP1	AZGP1_+_99573270.23-P1P2
NEDD8-MDP1	NEDD8-MDP1_+_24701514.23-P1P2
DGUOK	DGUOK_+_74154214.23-P1P2
DCPS	DCPS_-_126173845.23-P1P2
DCPS	DCPS_-_126174186.23-P1P2
GSTO1	GSTO1_-_106015033.23-P1P2
SPTLC3	SPTLC3_+_12990027.23-P1P2
SPTLC3	SPTLC3_-_12990032.23-P1P2
CPS1	CPS1_+_211421710.23-P1P2
PKLR	PKLR_-_155270743.23-P1P2
PKLR	PKLR_-_155271229.23-P1P2
ME2	ME2_+_48405494.23-P1P2
HPGDS	HPGDS_-_95264054.23-P1P2
HPGDS	HPGDS_+_95264002.23-P1P2
MOK	MOK_+_102771461.23-P1P2
CDKN2B	CDKN2B_+_22008917.23-P1P2
NDUFA6	NDUFA6_+_42486506.23-P1P2
DECR1	DECR1_+_91013765.23-P1P2
AMY2B	AMY2B_-_104104458.23-P1P2
PAK3	PAK3_+_110339770.23-P1P2
CD46	CD46_-_207925851.23-P1P2
ASPA	ASPA_-_3379286.23-P1P2
GNGT1	GNGT1_-_93536227.23-P1P2
PIK3C2G	PIK3C2G_-_18414511.23-P1P2
RALA	RALA_-_39663173.23-P1P2
OAS1	OAS1_+_113345251.23-P1P2
CACNA1A	CACNA1A_+_13617110.23-P1P2
ADCK5	ADCK5_-_145597789.23-P1P2
COX7B	COX7B_+_77155376.23-P1P2
PGGT1B	PGGT1B_+_114598567.23-P1P2
PI4KA	PI4KA_+_21212657.23-P1P2
SERPINB3	SERPINB3_+_61328716.23-P1P2
BAG1	BAG1_+_33264674.23-P1P2
NDUFS2	NDUFS2_+_161172138.23-P1P2
FNTA	FNTA_+_42911947.23-P1P2
FNTA	FNTA_+_42911840.23-P1P2
OGFOD1	OGFOD1_+_56485972.23-P1P2
UQCRQ	UQCRQ_+_132202789.23-P1P2
LARS2	LARS2_+_45430506.23-P1P2
CLK1	CLK1_-_201729341.23-P1P2
ADH4	ADH4_+_100065429.23-P1P2
MAP4K5	MAP4K5_+_50999160.23-P1P2
ATP5C1	ATP5C1_-_7830158.23-P1P2
FCRL2	FCRL2_+_157746907.23-P1P2
MED1	MED1_-_37607477.23-P1P2
MED1	MED1_-_37607464.23-P1P2
ANXA3	ANXA3_+_79473355.23-P1P2
TAF1L	TAF1L_-_32635067.23-P1P2
HIPK2	HIPK2_+_139477507.23-P1P2
GRIN3A	GRIN3A_+_104500895.23-P1P2
GRIN3A	GRIN3A_+_104500898.23-P1P2
STYXL1	STYXL1_+_75677069.23-P1P2
TAS1R2	TAS1R2_+_19185789.23-ENST00000375371.3
CTSS	CTSS_-_150738222.23-P1P2
CHRNA6	CHRNA6_-_42623769.23-P1P2
APCS	APCS_+_159557720.23-P1P2
FPGS	FPGS_+_130565231.23-P1P2
DHCR7	DHCR7_+_71159363.23-P1P2
CDK1	CDK1_+_62538726.23-P1P2
PPA1	PPA1_-_71993150.23-P1P2
PPP2R2D	PPP2R2D_-_133753830.23-P1P2
PPP2R2D	PPP2R2D_-_133753844.23-P1P2
CHM	CHM_+_85302486.23-P1P2
CYP2C8	CYP2C8_+_96829078.23-P1P2
CYP2C8	CYP2C8_+_96829014.23-P1P2
CHD1	CHD1_+_98262046.23-P1P2
IARS	IARS_-_95055573.23-P1P2
TARS2	TARS2_-_150459943.23-P1P2
VARS	VARS_+_31763457.23-P1P2
PLK1	PLK1_-_23690230.23-P1P2
